SurveyYear,SiteName,Imm.Gspot
2015,40,1
2017,40,1
2004,48,1
2019,48,1
2019,59,1
2009,151,1
2006,154,1
2004,228,1
2019,228,1
2005,229,1
2006,229,1
2009,229,3
2010,229,1
2012,229,3
2013,229,2
2014,229,1
2004,233,1
2005,233,1
2006,233,2
2008,233,1
2009,233,5
2010,233,1
2014,233,1
2015,233,3
2017,233,3
2018,233,1
2009,291,2
2012,291,1
2010,375,1
2019,375,1
2011,379,1
