"labels_site[, ""AreaDesc""]"
"Santa Cruz Island"
"Santa Cruz Island"
"Santa Cruz Island"
"Santa Cruz Island"
"Santa Cruz Island"
"Santa Cruz Island"
"Santa Cruz Island"
"Santa Cruz Island"
"Santa Cruz Island"
"Santa Cruz Island"
"Santa Cruz Island"
"Santa Cruz Island"
"Santa Cruz Island"
"Santa Cruz Island"
"Santa Cruz Island"
"Santa Cruz Island"
"Santa Cruz Island"
"Santa Cruz Island"
"Santa Cruz Island"
"Santa Cruz Island"
"Santa Cruz Island"
"Santa Cruz Island"
"Santa Cruz Island"
"Santa Cruz Island"
"Santa Cruz Island"
"Santa Cruz Island"
"Santa Cruz Island"
"Santa Rosa Island"
"Santa Rosa Island"
"Santa Rosa Island"
"Santa Rosa Island"
"Santa Rosa Island"
"Santa Rosa Island"
"Santa Rosa Island"
"Santa Rosa Island"
"Santa Rosa Island"
"Santa Rosa Island"
"Santa Rosa Island"
"Santa Rosa Island"
"Santa Rosa Island"
"Santa Rosa Island"
"Santa Rosa Island"
"Santa Rosa Island"
"Santa Rosa Island"
"Santa Rosa Island"
"Santa Rosa Island"
"Santa Rosa Island"
"Santa Rosa Island"
"Santa Rosa Island"
"Santa Rosa Island"
"Santa Rosa Island"
"Santa Rosa Island"
"Santa Rosa Island"
"Santa Rosa Island"
"Santa Rosa Island"
"Santa Rosa Island"
"Santa Rosa Island"
"Santa Rosa Island"
"Santa Rosa Island"
"Santa Rosa Island"
"Santa Rosa Island"
"Santa Rosa Island"
"Santa Rosa Island"
"Santa Rosa Island"
"Santa Rosa Island"
"Santa Rosa Island"
"Santa Rosa Island"
"Santa Rosa Island"
"Santa Rosa Island"
"Santa Rosa Island"
"Anacapa Island"
"Anacapa Island"
"Anacapa Island"
"Anacapa Island"
"Anacapa Island"
"Anacapa Island"
"Anacapa Island"
"Anacapa Island"
"Anacapa Island"
"Anacapa Island"
"Anacapa Island"
"Anacapa Island"
"San Miguel Island"
"San Miguel Island"
"San Miguel Island"
"Kidney Bank"
"Kidney Bank"
"Kidney Bank"
"Kidney Bank"
"Kidney Bank"
"Santa Barbara Island"
"Santa Barbara Island"
"Santa Barbara Island"
"Santa Barbara Island"
"Santa Barbara Island"
"Santa Barbara Island"
"Santa Barbara Island"
"Santa Barbara Island"
"Santa Barbara Island"
"Santa Barbara Island"
"Santa Barbara Island"
"Santa Barbara Island"
"Santa Barbara Island"
"Santa Barbara Island"
"Santa Barbara Island"
"Santa Barbara Island"
"Santa Barbara Island"
"Santa Barbara Island"
"Santa Barbara Island"
"Santa Barbara Island"
"Santa Barbara Island"
"Santa Barbara Island"
"Santa Barbara Island"
"Santa Barbara Island"
"Santa Barbara Island"
"Santa Barbara Island"
"Santa Barbara Island"
"Santa Barbara Island"
"Santa Barbara Island"
"Santa Barbara Island"
"Santa Barbara Island"
"Santa Barbara Island"
"Santa Barbara Island"
"Santa Barbara Island"
"Santa Barbara Island"
"Santa Barbara Island"
"Santa Barbara Island"
"Santa Barbara Island"
"Santa Barbara Island"
"Osborn Bank"
"Osborn Bank"
"Osborn Bank"
"Osborn Bank"
"Osborn Bank"
"Osborn Bank"
"Osborn Bank"
"Osborn Bank"
"Osborn Bank"
"Osborn Bank"
